Id,Question,Essay,ta,cc,lr,gr,Overall
81,"Many people try to achieve success through their career or education.
What can success mean to different people?
What is your view of success?","Success is something which most people try to achieve but there are many different types of
success. one type of success is work and jobs. For some people the most important success is
money and salary with your job. Some people think that success is have a high salary you are
success person. With high money you can buy everything you want. You have nice house and you
have nice clothes and car. This is success with many people want. I do not think this is success
job. Maybe you have high salary but maybe you also have stress job that s very bored for life. if
your life is bored and you hate your works everyday then you not success person in my opinion.
Maybe you can have success job with lower salary maybe you are nurse you can be success if yu
help lots of people and also you are very good in your job some nurses do very good things and
many people remember nurses work. Other jobs you can be success are teacher. Teacher is very
important job for all and spend time teaching people is success life in my opinion.
On the other hand there is also success in other things outside work. Maybe you have success
with family. If you are marry and you have children and everyone in family is happy and healthy
and not divorsing then you would be very success I think family success is more important than job
success in our life",5,5,5,5,5
82,"Many people try to achieve success through their career or education.
What can success mean to different people?
What is your view of success?","Success in life is something that is very important for most people. But success can mean different
things. For some people success is for your job, others your personal life. I think that the success
is very important and it is a mix of these.
For some people success for your job is your salary. If you earn a high salary then you are success
person. The job is not as important as the salary. Other people think that success in job is what you
do.

If you do your job very well then it is a success. For example a teacher might help lots of students
to get good exams and have good results at school then the teacher is success but some people
say the salary is small. I think if you enjoy your working then you are success in your job.
On the other hand, for other people success in life is in your personal life. If you have a marriage
happily and also family that are happy then this is also success. Success is not only your job but
also personal feelings.
In conclusion I think that success is a mixture of different things and success it is different for other
people. I think that if you have a good job that is enjoyable for you then this is a success. Also if
you have a good family then this is success. I think if your job is good enough to have the money
you need for family then this is the best.",6,6,6,6,6
83,"Many people try to achieve success through their career or education.
What can success mean to different people?
What is your view of success?","The majority of people try to achieve success in their lives. However, people view success in very
different ways. For some it relates to work and for other people success is about your personal life
and achievements. In this essay I will consider all of these before giving my opinion.
With success at work there are many different viewpoints. For some people success is measured
by how big your salary is. If you are more money then you are more successfully person. However,
for other people success at work is achieving things which are different to money. For example a
teacher might help people to learn the things they need for life. Or if you are a creative person and
produce something you are very pride with. This is successful for some people.
Other people see success more to do with personal life than work and see success as being with
family. If you have a good family with a marriage and have children who are happy and good
people then this is a success for some people. Others feel it a success when they have kind
friends and a good sociable life.
Finally there are others who see success as achieving goals and ambitions. If they complete these
goals then they are success.
In my opinion success is different for every person. I think that it should be a mix of all of the things
above. If you have an enjoying job and a happy life then you are a success.",7,7,7,7,7
84,"Many people try to achieve success through their career or education.
What can success mean to different people?
What is your view of success?","Many people work hard to have a successful life. However the meaning of success is not a clear
one and it can be different things to different people. This essay will consider success about the
workplace, family, and finally personal achievements.
For many people, success is related with their career. For some people, this is measured in the
how high their salary is; if they earn more than someone else they will be more successful.
However, others do not have this view and say that if you are working in a job that you do not enjoy
then you cannot be a successful, regardless of your income. Instead you need to consider job
satisfaction and what you achieve in the job. For example, teachers who have helped many people
achieve their goals or other workers who have successfully finished a project or other target that
they have.
Another important part of success maybe the family. Raising up and providing for a family is an
important part of life for many people. In this case success can be measured in how satisfied are
your family with close bonds between family members being more important than money.
A final aspect is personal achievement. We all have goals and dreams which we would like to be
achieved. These dreams are very diverse and vary from person to person. For example, some
people may wish to travel the world and others compete in a marathon, or write a book. By
achieving these things we are accomplishing targets and would be feeling very successful.
In conclusion, people may see success in their professional personal. I would argue that success is
individual for everybody but that for me, it is a mix of all of the different things described above.",8,8,8,8,8
85,"Many people try to achieve success through their career or education.
What can success mean to different people?
What is your view of success?","Many people strive to achieve a successful life. However, success is a very vague concept which
may mean different things to different people. This essay will consider success with regards to the
workplace, family, and finally personal achievements.
For many people, success is primarily measured though their career. For some people, this is
measured in the monetary value of their salary; if they earn more than someone else they are more
successful. However, others disregard this view and argue that if you are working in a job that you
do not enjoy then you cannot be considered a success, regardless of your income. Instead you

need to consider job satisfaction and professional achievement. For example, teachers who have
helped many people achieve their goals or other workers who have successfully realised a project
or other target that they had.
Another important indicator of success may be the family. Raising and providing for a family is an
important goal for many people. In this case success can be measured in how satisfied your family
are with close bonds between family members being more important than financial indicators.
A final aspect is that of personal achievement. We all have goals and dreams which we would like
to achieve. These dreams are very diverse and vary from person to person. For example, some
people may wish to travel the world; others compete in a marathon, or write a book. By achieving
these things we are accomplishing targets and would feel immensely successful.
In conclusion, people may see success on eithera professional or more personal level. I would
argue that success is individual for everybody but that for me, it is a mix of all of the different things
described above.",9,9,9,9,9
86,"In the last decade, there has been a great increase in global air travel.
What do you think are the reasons for this and do you think it is a good thing?","In the last decade there has been a great increase in the amount of global air travel. There are
many people who like travel and want to see new place. I think that more people now travel in the
past on the airplanes. I think maybe more people have money so they go on holiday with the
airplane more than in the past. Also now can pay your travel by credit card and not need save
money before you get ticket. in the past maybe stay at home for holiday and not travel to other
countries. I thin travel is a good thing for experience new culture and also see new place. I have
been to many places for travel and this is good.
And there are also more planes nowadays with more places and choose. In the past maybe not
many airlines and smaller choose for people to go to other countries. When i go to the airport I can
see many flights leaving that day to all over the world at all the time in the day so I can choose go
anywhere is very easy. Also i can be book a ticket for airplane on the internet. It is very quick and
easy for booking tickets on websites. Websites search many places and find good price and then
you can buy tickets just at home. I think that in the past it was more difficult for buying tickets for
airplane. people must go to travel agent and maybe not get the best price. this is not as
convenient. Travelling by plane is convenient for me and it is the fastest.",5,5,5,5,5
87,"In the last decade, there has been a great increase in global air travel.
What do you think are the reasons for this and do you think it is a good thing?","Over the last ten years people are travelling with plane more and more. Reasons for this are
mostly cost, convenient and wanting to travel more but there are some problems with more flights.
One of the biggest reasons for more people travelling with plane is the cheap cost. Nowdays there
are many airlines budget that give people cheap ticket to fly to different countrys. In the past it was
more expensive to travel and only rich people could go on many holidays. Now compays have
competiting with other companies to get customers. Another reason is convenient. It is now very
easy to find a flight and book a ticket on the internet. You can use a price search website to have a

good deal. Also you can pay with credit card so you don’t have to save all the money before you
buy tickets.
In the past people used to had to go to a travel agent or over the telephone. There are also many
more flights to choose from. in the airport you can see departure menu with many flight option to all
over the world.
Finally many people have travel for hobby now. On the internet there are many travel websites and
on the television many travel programmes. People have more information about other countries
and want to go there.
in conclusion, as I wrote above there are different reasons for more people travelling. I think that
travel is good and there are many advantages. however, more flights are also bad.",6,6,6,6,6
88,"In the last decade, there has been a great increase in global air travel.
What do you think are the reasons for this and do you think it is a good thing?","There has been a great increase in the number of international flight in the last decade. i believe
that there are a number of reasons for this because of cost, convenience and improved routes.
However, there are some disadvantages with the environment.
There are a number of reasons for more people to fly. Firstly, Nowadays there are many low price,
budget airlines that offer flights for much more cheaper than before. Therefore, this competition
has meant that other airlines also give cheaper tickets. Secondly, it is much more convenience to
book a ticket and fly now. You can surf the internet to find the best deal and book online. In the past
you would had to go to a agency travel. Furthermore with an improved service there are more
international airports to choose from than before.
These changes mean that more people have the oportunity to travel. Before it was only for people
with money but now people have the oportunity to see more of the world and experience new
things. I think that this is a good thing as it broadens people mind and means people meet other
cultures easier
Although, the biggest problem with more flights is the enviromental impact. Flying is one of the
biggest causes of global warming as planes use a lot of fuel that produces greenhouse gasses. In
addition, planes cause noise pollution. This is a serious problem for people who live near busy
airports.
In conclude, more people are flying because it is cheap and easier than in the past. Although there
are some environmental problems I believe that this is a good thing.",7,7,7,7,7
89,"In the last decade, there has been a great increase in global air travel.
What do you think are the reasons for this and do you think it is a good thing?","Over the last few years the number of air passengers has increased dramatically. There are a
number of reasons for this increase but also some benefits. However, it has also caused some
problems with regards to the environment.
There are three main reasons for the growth in air travel and they are reduced costs, more
convenient and an improved network. About the cost, there are now many buget airlines offering
low cost flights. This has meant that other airlines lowered their fares in order to competition. Also
people are now able to book their own flights online instead of through a travel agent, ensures that
they get the best price. Finally there are more international airports than ever before. This means
that it is much easier to travel than it was use to be.
Generally, these changes have been mostly positive for people. Air travel is no longer only for the
rich people and more people have been offered the chance to experience new cultures and
experience new things. Additionally, more families are able to travel abroad for holidays than in the
past.
Despite these benefits for people, air travel has had a negative influence on the environment. This
is mostly because air fuel produces a large number of greenhouse gasses which in turn cause
climate change.
In conclusion, it is evident that there are a number of reasons for the increase in air travel and that
this rise has been largely beneficial on an individual level. However, the environmental impact of air
travel needs careful consideration.",8,8,8,8,8
90,"In the last decade, there has been a great increase in global air travel.
What do you think are the reasons for this and do you think it is a good thing?","Over the last few years the number of air passengers has increased dramatically. There are a
number of reasons for this increase with some corresponding benefits. However, it has also
caused some problems with regard to the environment.
There are three main reasons for the growth in air travel, namely reduced costs, more convenience
and an improved network. As regards the cost, there are now many budget airlines offering low
cost flights. This has meant that other airlines have lowered their fares in order to compete.
Furthermore, people are now able to book their own flights online as opposed to through a travel

agent, ensuring that they get the best price. Finally, with more international airports than ever
before, it is much easier to fly than in the past.
Generally, these changes have been mostly positive for people. Air travel is no longer limited to the
wealthy and more people have been offered the chance to experience new cultures and
experience new things. Additionally, more families are able to travel abroad for holidays than in the
past.
Despite these benefits for people, air travel has had a negative effect on the environment. This is
mostly because aviation fuel produces a large volume of greenhouse gasses which in turn cause
climate change. Furthermore, the increased number of flights has led to more noise pollution which
affects the quality of life for many people. Finally it can be argued that airports have a negative
impact on the surrounding country and wildlife.
In conclusion, it is evident that there are a number of reasons for the increase in air travel and that
this rise has been largely beneficial on an individual level. However, the environmental impact of air
travel needs careful consideration.",9,9,9,9,9
